Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,O23,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,O22,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,O21,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C3,Destination[1],,384PP_Dest,B15,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C3,Destination[1],,384PP_Dest,B14,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C3,Destination[1],,384PP_Dest,B13,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,B10,0,0,,,605,300,1.655,79.39,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78216 ft: 0.375574
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,B9,0,0,,,20,0,1.655,79.39,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78216 ft: 0.375574
Source[1],,384LDV_DMSO,O5,Destination[1],,384PP_Dest,D21,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,O5,Destination[1],,384PP_Dest,D22,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,O5,Destination[1],,384PP_Dest,D23,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I7,Destination[1],,384PP_Dest,E17,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I7,Destination[1],,384PP_Dest,E18,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I7,Destination[1],,384PP_Dest,E19,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A11,Destination[1],,384PP_Dest,G19,0,0,,,2000,300,1.607,80.08,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77816 ft: 0.361438
Source[1],,384LDV_DMSO,A11,Destination[1],,384PP_Dest,G18,0,0,,,605,0,1.607,80.08,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77816 ft: 0.361438
Source[1],,384LDV_DMSO,A11,Destination[1],,384PP_Dest,G17,0,0,,,20,0,1.607,80.08,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77816 ft: 0.361438
Source[1],,384LDV_DMSO,M15,Destination[1],,384PP_Dest,K9,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,M15,Destination[1],,384PP_Dest,K10,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,M15,Destination[1],,384PP_Dest,K11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A15,Destination[1],,384PP_Dest,J11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A15,Destination[1],,384PP_Dest,J10,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A15,Destination[1],,384PP_Dest,J9,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I17,Destination[1],,384PP_Dest,L11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I17,Destination[1],,384PP_Dest,L10,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I17,Destination[1],,384PP_Dest,L9,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A21,Destination[1],,384PP_Dest,N11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,A21,Destination[1],,384PP_Dest,N10,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
